slot,lenA,lenB,equal_prefix,payload_compared,payload_equal,payload_equal_ratio
0,439,439,56,383,8,0.020888
5,439,635,56,383,14,0.036554
10,141260,142093,56,141204,549,0.003888
15,142093,142877,56,142037,557,0.003922
20,142563,143859,56,142507,522,0.003663
25,142699,145391,56,142643,559,0.003919
30,439,635,56,383,10,0.026110
35,439,635,56,383,5,0.013055
40,439,635,56,383,6,0.015666
45,119527,122129,56,119471,441,0.003691
50,439,635,56,383,5,0.013055
55,2739,2935,56,2683,17,0.006336
60,3019,3215,56,2963,19,0.006412
65,2739,2935,56,2683,9,0.003354
70,575,635,56,519,7,0.013487
75,2561,2757,56,2505,19,0.007585
80,143005,145486,56,142949,568,0.003973
85,143889,146620,56,143833,586,0.004074
90,143669,148333,56,143613,566,0.003941
95,439,635,56,383,4,0.010444
100,1220,2757,56,1164,11,0.009450
105,439,635,56,383,7,0.018277
110,1220,1416,56,1164,7,0.006014
115,157574,163019,56,157518,634,0.004025
125,439,439,56,383,8,0.020888
130,439,439,56,383,7,0.018277
131,36641,36643,56,36585,147,0.004018
135,439,439,56,383,7,0.018277
140,2885,2885,56,2829,18,0.006363
145,145367,147811,56,145311,591,0.004067
146,152330,160041,56,152274,622,0.004085
150,439,439,56,383,6,0.015666
155,1220,1220,56,1164,10,0.008591
160,165399,172969,56,165343,680,0.004113
165,1220,1220,56,1164,12,0.010309
170,635,635,56,579,12,0.020725
185,439,439,56,383,27,0.070496
190,2633,2561,56,2505,22,0.008782
195,539,639,56,483,20,0.041408
197,110223,107701,56,107645,459,0.004264
200,4540,4540,56,4484,36,0.008029
205,1220,1220,56,1164,19,0.016323
220,153883,160883,56,153827,605,0.003933
223,157962,165229,56,157906,637,0.004034
225,439,439,56,383,15,0.039164
230,2561,2561,56,2505,21,0.008383
240,2725,2725,56,2669,15,0.005620
243,180683,182150,56,180627,702,0.003886
245,2561,2561,56,2505,17,0.006786
265,439,439,56,383,6,0.015666
270,2561,1220,56,1164,24,0.020619
275,2561,2561,56,2505,17,0.006786
277,84612,85640,56,84556,346,0.004092
280,2625,2625,56,2569,27,0.010510
285,439,439,56,383,20,0.052219
290,611,611,56,555,22,0.039640
295,3592,3592,56,3536,24,0.006787
300,439,439,56,383,8,0.020888
310,439,439,56,383,9,0.023499
315,1220,1220,56,1164,25,0.021478
320,1480,1480,56,1424,26,0.018258
325,1220,1220,56,1164,26,0.022337
330,439,439,56,383,19,0.049608
335,2561,2561,56,2505,27,0.010778
340,1999,1999,56,1943,19,0.009779
345,439,439,57,383,14,0.036554
350,2757,2757,56,2701,33,0.012218
355,439,439,56,383,12,0.031332
360,1220,2561,56,1164,13,0.011168
370,261727,278046,56,261671,1079,0.004123
372,266948,284750,56,266892,1098,0.004114
375,271405,292639,56,271349,1090,0.004017
380,699,699,56,643,23,0.035770
385,273907,275829,56,273851,1085,0.003962
390,2639,2639,56,2583,34,0.013163
410,439,439,56,383,12,0.031332
415,3132,3151,56,3076,30,0.009753
425,3260,3321,56,3204,23,0.007179
430,3260,5337,56,3204,25,0.007803
435,3260,3321,56,3204,17,0.005306
455,611,611,56,555,12,0.021622
460,2561,2561,56,2505,24,0.009581
465,2561,2853,56,2505,23,0.009182
466,219876,226556,56,219820,899,0.004090
470,2761,2797,56,2705,19,0.007024
490,647,647,56,591,13,0.021997
495,3168,3147,56,3091,18,0.005823
497,204008,225009,56,203952,793,0.003888
500,2554,2554,56,2498,26,0.010408
505,4329,4329,56,4273,33,0.007723
510,439,439,56,383,15,0.039164
515,1416,1416,56,1360,31,0.022794
520,1416,1416,56,1360,26,0.019118
525,1488,1488,56,1432,14,0.009777
535,2803,2857,56,2747,22,0.008009
540,2885,3301,56,2829,23,0.008130
545,439,439,56,383,17,0.044386
550,1220,1220,56,1164,18,0.015464
560,1220,1220,56,1164,18,0.015464
561,150255,156859,56,150199,617,0.004108
570,137182,136299,56,136243,592,0.004345
580,819,819,56,763,21,0.027523
summary,pairs=102,min_prefix=56,avg_payload_equal_ratio=0.014398
offset,pairs_with_byte,equal_pairs,equal_ratio
0,102,1,0.009804
1,102,2,0.019608
2,102,6,0.058824
3,102,102,1.000000
4,102,0,0.000000
5,102,1,0.009804
6,102,0,0.000000
7,102,102,1.000000
8,102,0,0.000000
9,102,0,0.000000
10,102,1,0.009804
11,102,34,0.333333
12,102,0,0.000000
13,102,1,0.009804
14,102,0,0.000000
15,102,102,1.000000
16,102,0,0.000000
17,102,1,0.009804
18,102,2,0.019608
19,102,48,0.470588
20,102,1,0.009804
21,102,0,0.000000
22,102,0,0.000000
23,102,80,0.784314
24,102,0,0.000000
25,102,0,0.000000
26,102,0,0.000000
27,102,48,0.470588
28,102,0,0.000000
29,102,0,0.000000
30,102,0,0.000000
31,102,42,0.411765
32,102,0,0.000000
33,102,0,0.000000
34,102,0,0.000000
35,102,35,0.343137
36,102,0,0.000000
37,102,0,0.000000
38,102,0,0.000000
39,102,34,0.333333
40,102,2,0.019608
41,102,0,0.000000
42,102,0,0.000000
43,102,39,0.382353
44,102,0,0.000000
45,102,0,0.000000
46,102,3,0.029412
47,102,27,0.264706
48,102,0,0.000000
49,102,0,0.000000
50,102,1,0.009804
51,102,22,0.215686
52,102,0,0.000000
53,102,0,0.000000
54,102,0,0.000000
55,102,26,0.254902
56,102,0,0.000000
57,102,0,0.000000
58,102,0,0.000000
59,102,19,0.186275
60,102,0,0.000000
61,102,0,0.000000
62,102,0,0.000000
63,102,22,0.215686
64,102,0,0.000000
65,102,0,0.000000
66,102,0,0.000000
67,102,19,0.186275
68,102,0,0.000000
69,102,0,0.000000
70,102,0,0.000000
71,102,14,0.137255
72,102,0,0.000000
73,102,0,0.000000
74,102,0,0.000000
75,102,16,0.156863
76,102,1,0.009804
77,102,1,0.009804
78,102,0,0.000000
79,102,17,0.166667
80,102,2,0.019608
81,102,0,0.000000
82,102,1,0.009804
83,102,12,0.117647
84,102,0,0.000000
85,102,1,0.009804
86,102,0,0.000000
87,102,7,0.068627
88,102,0,0.000000
89,102,1,0.009804
90,102,1,0.009804
91,102,10,0.098039
92,102,0,0.000000
93,102,0,0.000000
94,102,0,0.000000
95,102,2,0.019608
96,102,1,0.009804
97,102,0,0.000000
98,102,0,0.000000
99,102,2,0.019608
100,102,1,0.009804
101,102,0,0.000000
102,102,0,0.000000
103,102,1,0.009804
104,102,0,0.000000
105,102,0,0.000000
106,102,1,0.009804
107,102,1,0.009804
108,102,0,0.000000
109,102,1,0.009804
110,102,1,0.009804
111,102,2,0.019608
112,102,1,0.009804
113,102,0,0.000000
114,102,0,0.000000
115,102,0,0.000000
116,102,2,0.019608
117,102,0,0.000000
118,102,0,0.000000
119,102,1,0.009804
120,102,1,0.009804
121,102,0,0.000000
122,102,0,0.000000
123,102,0,0.000000
124,102,1,0.009804
125,102,1,0.009804
126,102,0,0.000000
127,102,0,0.000000
128,102,0,0.000000
129,102,0,0.000000
130,102,0,0.000000
131,102,0,0.000000
132,102,0,0.000000
133,102,1,0.009804
134,102,0,0.000000
135,102,0,0.000000
136,102,1,0.009804
137,102,0,0.000000
138,102,1,0.009804
139,102,1,0.009804
140,102,0,0.000000
141,102,1,0.009804
142,102,0,0.000000
143,102,0,0.000000
144,102,0,0.000000
145,102,1,0.009804
146,102,0,0.000000
147,102,1,0.009804
148,102,1,0.009804
149,102,1,0.009804
150,102,0,0.000000
151,102,0,0.000000
152,102,0,0.000000
153,102,0,0.000000
154,102,0,0.000000
155,102,1,0.009804
156,102,0,0.000000
157,102,0,0.000000
158,102,0,0.000000
159,102,0,0.000000
